lat,lon,dominant_class,wooded_frac,cleared_frac,water_frac,n_px
37.347664,-86.165052,cleared,0.0,1.0,0.0,628
37.347664,-86.164433,cleared,0.0,1.0,0.0,729
37.347664,-86.163815,cleared,0.0,1.0,0.0,729
37.347664,-86.163196,wooded,0.716,0.284,0.0,571
37.347663,-86.162578,wooded,0.986,0.014,0.0,631
37.347663,-86.161959,cleared,0.177,0.823,0.0,520
37.347663,-86.16134,cleared,0.0,1.0,0.0,614
37.347663,-86.158866,cleared,0.0,1.0,0.0,729
37.347662,-86.158247,cleared,0.0,1.0,0.0,729
37.347661,-86.153917,cleared,0.0,0.994,0.006,665
37.347661,-86.15268,cleared,0.0,1.0,0.0,498
37.34766,-86.14835,cleared,0.0,0.883,0.117,574
37.347659,-86.147731,cleared,0.0,1.0,0.0,721
37.347659,-86.147113,cleared,0.0,1.0,0.0,688
37.347659,-86.146494,cleared,0.0,1.0,0.0,545
37.347658,-86.144638,cleared,0.0,1.0,0.0,707
37.347658,-86.14402,cleared,0.0,1.0,0.0,601
37.347658,-86.142783,cleared,0.102,0.898,0.0,576
37.34717,-86.211446,cleared,0.0,0.933,0.067,671
37.34717,-86.210828,cleared,0.0,0.973,0.027,714
37.34717,-86.210209,cleared,0.0,1.0,0.0,729
37.34717,-86.209591,cleared,0.0,1.0,0.0,695
37.34717,-86.208972,cleared,0.0,1.0,0.0,575
37.347171,-86.167526,cleared,0.0,1.0,0.0,666
37.34717,-86.166908,cleared,0.0,0.951,0.049,552
37.34717,-86.165671,cleared,0.0,0.867,0.133,542
37.34717,-86.165052,cleared,0.0,1.0,0.0,721
37.34717,-86.164434,cleared,0.0,1.0,0.0,729
37.34717,-86.163815,cleared,0.0,1.0,0.0,729
37.34717,-86.163196,cleared,0.339,0.661,0.0,652
37.34717,-86.162578,wooded,0.81,0.19,0.0,527
37.347169,-86.161959,cleared,0.0,1.0,0.0,648
37.347169,-86.161341,cleared,0.0,1.0,0.0,628
37.347169,-86.160722,cleared,0.0,1.0,0.0,677
37.347169,-86.160103,cleared,0.0,0.563,0.437,552
37.347169,-86.158248,cleared,0.0,1.0,0.0,729
37.347168,-86.155773,cleared,0.039,0.631,0.33,515
37.347168,-86.155155,cleared,0.0,0.832,0.168,543
37.347168,-86.154536,cleared,0.0,1.0,0.0,654
37.347167,-86.152062,cleared,0.0,1.0,0.0,729
37.347166,-86.149587,wooded,0.883,0.117,0.0,349
37.347165,-86.147113,cleared,0.0,1.0,0.0,728
37.347165,-86.146494,cleared,0.0,1.0,0.0,729
37.347165,-86.145257,cleared,0.0,0.838,0.162,581
37.347164,-86.14402,cleared,0.0,1.0,0.0,722
37.347164,-86.143401,cleared,0.0,1.0,0.0,494
37.347164,-86.142783,cleared,0.038,0.962,0.0,654
37.347164,-86.142164,cleared,0.485,0.515,0.0,646
37.347163,-86.141546,wooded,1.0,0.0,0.0,679
37.346676,-86.210828,cleared,0.0,0.961,0.039,610
37.346676,-86.210209,cleared,0.0,1.0,0.0,729
37.346676,-86.20959,cleared,0.0,1.0,0.0,729
37.346676,-86.208972,cleared,0.0,1.0,0.0,729
37.346677,-86.167527,cleared,0.0,0.994,0.006,644
37.346676,-86.165671,cleared,0.0,0.987,0.013,609
37.346676,-86.164434,cleared,0.0,1.0,0.0,726
37.346676,-86.163815,cleared,0.0,1.0,0.0,729
37.346676,-86.163197,cleared,0.0,1.0,0.0,729
37.346676,-86.162578,cleared,0.036,0.964,0.0,689
37.346676,-86.161959,cleared,0.0,1.0,0.0,729
37.346675,-86.161341,cleared,0.0,1.0,0.0,729
